40,15/07/2021,BE 0478.065.191,45,EUR,,
NAT.,Datum neerlegging,Nr.,Blz.,D.,21372.00210,VOL-kap 1.1
Nr.,BE 0478.065.191,VOL-kap 2.1
Nr.,BE 0478.065.191,VOL-kap 2.1
Nr.,BE 0478.065.191,VOL-kap 2.1
Nr.,BE 0478.065.191,VOL-kap 2.1
Nr.,BE 0478.065.191,VOL-kap 2.1
Nr.,BE 0478.065.191,VOL-kap 2.1
Nr.,BE 0478.065.191,VOL-kap 2.1
Nr.,BE 0478.065.191,VOL-kap 2.2
Nr.,BE 0478.065.191,VOL-kap 3.1
"",Toel.,Codes,Boekjaar,Vorig boekjaar
ACTIVA,,,,
OPRICHTINGSKOSTEN,6.1,20,,
VASTE ACTIVA,,21/28,3.423.013,4.480.277
Immateriële vaste activa,6.2,21,,
Materiële vaste activa,6.3,22/27,3.414.369,4.387.834
Terreinen en gebouwen,,22,,
"Installaties, machines en uitrusting",,23,3.207.099,3.635.838
Meubilair en rollend materieel,,24,207.270,715.808
Leasing en soortgelijke rechten,,25,,
Overige materiële vaste activa,,26,,
Activa in aanbouw en vooruitbetalingen,,27,,36.188
Financiële vaste activa,6.4/6.5.1,28,8.644,92.443
Verbonden ondernemingen,6.15,280/1,882,84.482
Deelnemingen,,280,882,84.482
Vorderingen,,281,,
Ondernemingen waarmee een,,,,
deelnemingsverhouding bestaat,6.15,282/3,,
Deelnemingen,,282,,
Vorderingen,,283,,
Andere financiële vaste activa,,284/8,7.762,7.961
Aandelen,,284,,
Vorderingen en borgtochten in contanten,,285/8,7.762,7.961
VLOTTENDE ACTIVA,,29/58,17.791.270,16.725.595
Vorderingen op meer dan één jaar,,29,33.409,50.075
Handelsvorderingen,,290,,
Overige vorderingen,,291,33.409,50.075
Voorraden en bestellingen in uitvoering,,3,3.269.394,2.623.321
Voorraden,,30/36,3.269.394,2.623.321
Grond- en hulpstoffen,,30/31,,2.479
Goederen in bewerking,,32,3.269.394,2.620.842
Gereed product,,33,,
Handelsgoederen,,34,,
Onroerende goederen bestemd voor verkoop,,35,,
Vooruitbetalingen,,36,,
Bestellingen in uitvoering,,37,,
Vorderingen op ten hoogste één jaar,,40/41,11.311.642,12.825.375
Handelsvorderingen,,40,10.651.820,12.216.121
Overige vorderingen,,41,659.822,609.254
Geldbeleggingen,6.5.1/6.6,50/53,,
Eigen aandelen,,50,,
Overige beleggingen,,51/53,,
Liquide middelen,,54/58,2.775.357,867.837
Overlopende rekeningen,6.6,490/1,401.468,358.987
TOTAAL VAN DE ACTIVA,,20/58,21.214.283,21.205.872
Nr.,BE 0478.065.191,VOL-kap 3.2
Nr.,BE 0478.065.191,VOL-kap 3.2
"",Toel.,Codes,Boekjaar,Vorig boekjaar
TOTAAL VAN DE PASSIVA,,10/49,21.214.283,21.205.872
Nr.,BE 0478.065.191,VOL-kap 4
"",Toel.,Codes,Boekjaar,Vorig boekjaar
Bedrijfsopbrengsten,,70/76A,33.458.600,33.741.063
Omzet,6.10,70,31.949.900,33.104.967
Voorraad goederen in bewerking en gereed product,,,,
en bestellingen in uitvoering: toename (afname) (+)/(-),,71,648.552,-117.928
Geproduceerde vaste activa,,72,,
Andere bedrijfsopbrengsten,6.10,74,538.217,393.005
Niet-recurrente bedrijfsopbrengsten,6.12,76A,321.931,361.019
Bedrijfskosten,,60/66A,33.369.147,33.597.663
"Handelsgoederen, grond- en hulpstoffen",,60,2.479,
Aankopen,,600/8,,
Voorraad: afname (toename) (+)/(-),,609,2.479,
Diensten en diverse goederen,,61,28.680.977,28.232.188
"Bezoldigingen, sociale lasten en pensioenen (+)/(-)",6.10,62,3.308.252,3.524.952
Afschrijvingen en waardeverminderingen op,,,,
"oprichtingskosten, op immateriële en materiële vaste",,,,
activa,,630,1.053.818,848.934
"Waardeverminderingen op voorraden, op bestellingen",,,,
in uitvoering en op handelsvorderingen: toevoegingen,,,,
(terugnemingen) (+)/(-),6.10,631/4,120.927,176.471
Voorzieningen voor risico's en kosten: toevoegingen,,,,
(bestedingen en terugnemingen) (+)/(-),6.10,635/8,-126.334,652.000
Andere bedrijfskosten,6.10,640/8,126.815,161.290
Als herstructureringskosten geactiveerde,,,,
bedrijfskosten (-),,649,,
Niet-recurrente bedrijfskosten,6.12,66A,202.213,1.828
Bedrijfswinst (Bedrijfsverlies) (+)/(-),,9901,89.453,143.400
Financiële opbrengsten,,75/76B,3.689,4.778
Recurrente financiële opbrengsten,,75,3.689,4.778
Opbrengsten uit financiële vaste activa,,750,,
Opbrengsten uit vlottende activa,,751,9,14
Andere financiële opbrengsten,6.11,752/9,3.680,4.764
Niet-recurrente financiële opbrengsten,6.12,76B,,
Financiële kosten,,65/66B,27.876,39.954
Recurrente financiële kosten,6.11,65,27.876,39.954
Kosten van schulden,,650,20.527,32.369
